pressure fraction   pressure [df. units]M [Ms]              R [km]              
0.000189856         1.58166e+33         0.180977            20.2148             
0.000190207         1.58457e+33         0.181               20.2073             
0.000190557         1.58749e+33         0.181024            20.1997             
0.000190909         1.59042e+33         0.181048            20.1922             
0.000191261         1.59335e+33         0.181073            20.1847             
0.000191613         1.59629e+33         0.181098            20.1771             
0.000191967         1.59924e+33         0.181123            20.1695             
0.000192321         1.60219e+33         0.181148            20.1619             
0.000192675         1.60514e+33         0.181173            20.1543             
0.000193031         1.6081e+33          0.181199            20.1467             
0.000193387         1.61106e+33         0.181225            20.139              
0.000193743         1.61404e+33         0.181251            20.1314             
0.0001941           1.61701e+33         0.181278            20.1237             
0.000194458         1.61999e+33         0.181304            20.116              
0.000194817         1.62298e+33         0.181331            20.1083             
0.000195176         1.62597e+33         0.181358            20.1006             
0.000195536         1.62897e+33         0.181386            20.0928             
0.000195897         1.63197e+33         0.181413            20.0851             
0.000196258         1.63498e+33         0.181441            20.0773             
0.00019662          1.638e+33           0.18147             20.0695             
0.000196982         1.64102e+33         0.181498            20.0617             
0.000197345         1.64404e+33         0.181527            20.0539             
0.000197709         1.64708e+33         0.181556            20.0461             
0.000198074         1.65011e+33         0.181585            20.0382             
0.000198439         1.65316e+33         0.181614            20.0304             
0.000198805         1.6562e+33          0.181644            20.0225             
0.000199172         1.65926e+33         0.181674            20.0146             
0.000199539         1.66232e+33         0.181704            20.0067             
0.000199907         1.66538e+33         0.181735            19.9988             
0.000200275         1.66845e+33         0.181765            19.9909             
0.000200645         1.67153e+33         0.181796            19.9829             
0.000201015         1.67461e+33         0.181828            19.975              
0.000201385         1.6777e+33          0.181859            19.967              
0.000201757         1.68079e+33         0.181891            19.959              
0.000202129         1.68389e+33         0.181923            19.951              
0.000202501         1.687e+33           0.181955            19.943              
0.000202875         1.69011e+33         0.181988            19.9349             
0.000203249         1.69323e+33         0.182021            19.9269             
0.000203624         1.69635e+33         0.182054            19.9188             
0.000203999         1.69948e+33         0.182087            19.9108             
0.000204375         1.70261e+33         0.182121            19.9027             
0.000204752         1.70575e+33         0.182155            19.8946             
0.00020513          1.70889e+33         0.182189            19.8865             
0.000205508         1.71205e+33         0.182223            19.8783             
0.000205887         1.7152e+33          0.182258            19.8702             
0.000206267         1.71837e+33         0.182293            19.862              
0.000206647         1.72153e+33         0.182328            19.8539             
0.000207028         1.72471e+33         0.182363            19.8457             
0.00020741          1.72789e+33         0.182399            19.8375             
0.000207792         1.73107e+33         0.182435            19.8293             
0.000208175         1.73427e+33         0.182471            19.821              
0.000208559         1.73746e+33         0.182508            19.8128             
0.000208944         1.74067e+33         0.182545            19.8046             
0.000209329         1.74388e+33         0.182582            19.7963             
0.000209715         1.74709e+33         0.182619            19.788              
0.000210102         1.75031e+33         0.182657            19.7797             
0.000210489         1.75354e+33         0.182695            19.7714             
0.000210877         1.75678e+33         0.182733            19.7631             
0.000211266         1.76002e+33         0.182771            19.7548             
0.000211656         1.76326e+33         0.18281             19.7464             
0.000212046         1.76651e+33         0.182849            19.7381             
0.000212437         1.76977e+33         0.182888            19.7297             
0.000212829         1.77303e+33         0.182928            19.7214             
0.000213221         1.7763e+33          0.182968            19.713              
0.000213614         1.77958e+33         0.183008            19.7046             
0.000214008         1.78286e+33         0.183048            19.6961             
0.000214403         1.78615e+33         0.183089            19.6877             
0.000214798         1.78944e+33         0.18313             19.6793             
0.000215194         1.79274e+33         0.183171            19.6708             
0.000215591         1.79604e+33         0.183212            19.6624             
0.000215988         1.79936e+33         0.183254            19.6539             
0.000216387         1.80267e+33         0.183296            19.6454             
0.000216786         1.806e+33           0.183338            19.6369             
0.000217185         1.80933e+33         0.183381            19.6284             
0.000217586         1.81267e+33         0.183424            19.6199             
0.000217987         1.81601e+33         0.183467            19.6113             
0.000218389         1.81936e+33         0.18351             19.6028             
0.000218792         1.82271e+33         0.183554            19.5942             
0.000219195         1.82607e+33         0.183598            19.5857             
0.000219599         1.82944e+33         0.183642            19.5771             
0.000220004         1.83281e+33         0.183687            19.5685             
0.00022041          1.83619e+33         0.183732            19.5599             
0.000220816         1.83958e+33         0.183777            19.5513             
0.000221224         1.84297e+33         0.183822            19.5427             
0.000221632         1.84637e+33         0.183868            19.534              
0.00022204          1.84977e+33         0.183914            19.5254             
0.00022245          1.85318e+33         0.18396             19.5167             
0.00022286          1.8566e+33          0.184007            19.508              
0.000223271         1.86002e+33         0.184054            19.4994             
0.000223682         1.86345e+33         0.184101            19.4907             
0.000224095         1.86689e+33         0.184148            19.482              
0.000224508         1.87033e+33         0.184196            19.4733             
0.000224922         1.87378e+33         0.184244            19.4646             
0.000225337         1.87724e+33         0.184292            19.4558             
0.000225752         1.8807e+33          0.184341            19.4471             
0.000226169         1.88417e+33         0.18439             19.4383             
0.000226586         1.88764e+33         0.184439            19.4296             
0.000227003         1.89112e+33         0.184488            19.4208             
0.000227422         1.89461e+33         0.184538            19.412              
0.000227841         1.8981e+33          0.184588            19.4032             
0.000228262         1.9016e+33          0.184638            19.3944             
0.000228682         1.90511e+33         0.184689            19.3856             
0.000229104         1.90862e+33         0.18474             19.3768             
0.000229527         1.91214e+33         0.184791            19.3679             
0.00022995          1.91567e+33         0.184843            19.3591             
0.000230374         1.9192e+33          0.184894            19.3503             
0.000230799         1.92274e+33         0.184947            19.3414             
0.000231224         1.92628e+33         0.184999            19.3325             
0.000231651         1.92983e+33         0.185052            19.3236             
0.000232078         1.93339e+33         0.185105            19.3148             
0.000232506         1.93696e+33         0.185158            19.3059             
0.000232934         1.94053e+33         0.185212            19.297              
0.000233364         1.94411e+33         0.185265            19.288              
0.000233794         1.94769e+33         0.18532             19.2791             
0.000234225         1.95128e+33         0.185374            19.2702             
0.000234657         1.95488e+33         0.185429            19.2612             
0.00023509          1.95849e+33         0.185484            19.2523             
0.000235523         1.9621e+33          0.18554             19.2433             
0.000235958         1.96572e+33         0.185595            19.2344             
0.000236393         1.96934e+33         0.185651            19.2254             
0.000236829         1.97297e+33         0.185708            19.2164             
0.000237265         1.97661e+33         0.185764            19.2074             
0.000237703         1.98025e+33         0.185821            19.1984             
0.000238141         1.98391e+33         0.185878            19.1894             
0.00023858          1.98756e+33         0.185936            19.1804             
0.00023902          1.99123e+33         0.185994            19.1714             
0.000239461         1.9949e+33          0.186052            19.1623             
0.000239902         1.99858e+33         0.18611             19.1533             
0.000240345         2.00226e+33         0.186169            19.1442             
0.000240788         2.00596e+33         0.186228            19.1352             
0.000241232         2.00966e+33         0.186288            19.1261             
0.000241677         2.01336e+33         0.186347            19.117              
0.000242122         2.01707e+33         0.186407            19.108              
0.000242569         2.02079e+33         0.186468            19.0989             
0.000243016         2.02452e+33         0.186528            19.0898             
0.000243464         2.02825e+33         0.186589            19.0807             
0.000243913         2.03199e+33         0.18665             19.0716             
0.000244363         2.03574e+33         0.186712            19.0624             
0.000244814         2.03949e+33         0.186774            19.0533             
0.000245265         2.04325e+33         0.186836            19.0442             
0.000245717         2.04702e+33         0.186898            19.035              
0.00024617          2.0508e+33          0.186961            19.0259             
0.000246624         2.05458e+33         0.187024            19.0168             
0.000247079         2.05837e+33         0.187088            19.0076             
0.000247535         2.06216e+33         0.187152            18.9984             
0.000247991         2.06596e+33         0.187216            18.9893             
0.000248448         2.06977e+33         0.18728             18.9801             
0.000248906         2.07359e+33         0.187345            18.9709             
0.000249365         2.07741e+33         0.18741             18.9617             
0.000249825         2.08124e+33         0.187475            18.9525             
0.000250286         2.08508e+33         0.187541            18.9433             
0.000250747         2.08893e+33         0.187607            18.9341             
0.00025121          2.09278e+33         0.187673            18.9249             
0.000251673         2.09664e+33         0.18774             18.9156             
0.000252137         2.1005e+33          0.187807            18.9064             
0.000252602         2.10438e+33         0.187874            18.8972             
0.000253068         2.10826e+33         0.187941            18.888              
0.000253534         2.11214e+33         0.188009            18.8787             
0.000254002         2.11604e+33         0.188077            18.8695             
0.00025447          2.11994e+33         0.188146            18.8602             
0.00025494          2.12385e+33         0.188215            18.8509             
0.00025541          2.12777e+33         0.188284            18.8417             
0.000255881         2.13169e+33         0.188354            18.8324             
0.000256352         2.13562e+33         0.188423            18.8231             
0.000256825         2.13956e+33         0.188494            18.8138             
0.000257299         2.1435e+33          0.188564            18.8045             
0.000257773         2.14746e+33         0.188635            18.7953             
0.000258248         2.15142e+33         0.188706            18.786              
0.000258725         2.15538e+33         0.188777            18.7766             
0.000259202         2.15936e+33         0.188849            18.7673             
0.00025968          2.16334e+33         0.188921            18.758              
0.000260158         2.16733e+33         0.188994            18.7487             
0.000260638         2.17132e+33         0.189066            18.7394             
0.000261119         2.17533e+33         0.18914             18.7301             
0.0002616           2.17934e+33         0.189213            18.7207             
0.000262083         2.18336e+33         0.189287            18.7114             
0.000262566         2.18738e+33         0.189361            18.7021             
0.00026305          2.19142e+33         0.189435            18.6927             
0.000263535         2.19546e+33         0.18951             18.6834             
0.000264021         2.19951e+33         0.189585            18.674              
0.000264508         2.20356e+33         0.18966             18.6647             
0.000264996         2.20763e+33         0.189736            18.6553             
0.000265484         2.2117e+33          0.189812            18.6459             
0.000265974         2.21577e+33         0.189889            18.6366             
0.000266464         2.21986e+33         0.189965            18.6272             
0.000266956         2.22395e+33         0.190042            18.6178             
0.000267448         2.22805e+33         0.19012             18.6085             
0.000267941         2.23216e+33         0.190197            18.5991             
0.000268435         2.23628e+33         0.190275            18.5897             
0.00026893          2.2404e+33          0.190354            18.5803             
0.000269426         2.24453e+33         0.190433            18.5709             
0.000269923         2.24867e+33         0.190512            18.5615             
0.00027042          2.25282e+33         0.190591            18.5521             
0.000270919         2.25697e+33         0.190671            18.5427             
0.000271419         2.26113e+33         0.190751            18.5333             
0.000271919         2.2653e+33          0.190831            18.5239             
0.00027242          2.26948e+33         0.190912            18.5145             
0.000272923         2.27367e+33         0.190993            18.5051             
0.000273426         2.27786e+33         0.191075            18.4957             
0.00027393          2.28206e+33         0.191156            18.4863             
0.000274435         2.28627e+33         0.191238            18.4768             
0.000274941         2.29048e+33         0.191321            18.4674             
0.000275448         2.29471e+33         0.191404            18.458              
0.000275956         2.29894e+33         0.191487            18.4486             
0.000276465         2.30318e+33         0.19157             18.4391             
0.000276975         2.30742e+33         0.191654            18.4297             
0.000277486         2.31168e+33         0.191738            18.4203             
